NAME,GVKEY,YEAR,name,ein
ALPHARMA INC ,1034,1994,ALPHARMA INC  -CL A,22-2095212
ALPHARMA INC ,1034,1995,ALPHARMA INC  -CL A,22-2095212
ALPHARMA INC ,1034,1996,ALPHARMA INC  -CL A,22-2095212
ALPHARMA INC ,1034,1997,ALPHARMA INC  -CL A,22-2095212
ALPHARMA INC ,1034,1998,ALPHARMA INC  -CL A,22-2095212
ALPHARMA INC ,1034,1999,ALPHARMA INC  -CL A,22-2095212
ALPHARMA INC ,1034,2000,ALPHARMA INC  -CL A,22-2095212
ALPHARMA INC ,1034,2001,ALPHARMA INC  -CL A,22-2095212
ALPHARMA INC ,1034,2002,ALPHARMA INC  -CL A,22-2095212
A M C ENTERTAINMENT INC ,1038,1993,AMC ENTERTAINMENT INC -OLD,.
A M C ENTERTAINMENT INC ,1038,1994,AMC ENTERTAINMENT INC -OLD,.
A M C ENTERTAINMENT INC ,1038,1995,AMC ENTERTAINMENT INC -OLD,.
A M C ENTERTAINMENT INC ,1038,1996,AMC ENTERTAINMENT INC -OLD,.
A M C ENTERTAINMENT INC ,1038,1997,AMC ENTERTAINMENT INC -OLD,.
A M C ENTERTAINMENT INC ,1038,1998,AMC ENTERTAINMENT INC -OLD,.
A M C ENTERTAINMENT INC ,1038,1999,AMC ENTERTAINMENT INC -OLD,.
A M C ENTERTAINMENT INC ,1038,2000,AMC ENTERTAINMENT INC -OLD,.
A M C ENTERTAINMENT INC ,1038,2001,AMC ENTERTAINMENT INC -OLD,.
A M C ENTERTAINMENT INC ,1038,2002,AMC ENTERTAINMENT INC -OLD,.
AARON RENTS INC ,1076,1995,PROG HOLDINGS INC,85-2484385
AARON RENTS INC ,1076,1996,PROG HOLDINGS INC,85-2484385
AARON RENTS INC ,1076,1997,PROG HOLDINGS INC,85-2484385
AARON RENTS INC ,1076,1998,PROG HOLDINGS INC,85-2484385
AARON RENTS INC ,1076,1999,PROG HOLDINGS INC,85-2484385
AARON RENTS INC ,1076,2000,PROG HOLDINGS INC,85-2484385
AARON RENTS INC ,1076,2001,PROG HOLDINGS INC,85-2484385
AARON RENTS INC ,1076,2002,PROG HOLDINGS INC,85-2484385
ACKERLEY GROUP INC ,1095,1995,ACKERLEY GROUP INC,91-1043807
ACKERLEY GROUP INC ,1095,1996,ACKERLEY GROUP INC,91-1043807
ACKERLEY GROUP INC ,1095,1997,ACKERLEY GROUP INC,91-1043807
ACKERLEY GROUP INC ,1095,1998,ACKERLEY GROUP INC,91-1043807
ACKERLEY GROUP INC ,1095,1999,ACKERLEY GROUP INC,91-1043807
ACKERLEY GROUP INC ,1095,2000,ACKERLEY GROUP INC,91-1043807
ACKERLEY GROUP INC ,1095,2001,ACKERLEY GROUP INC,91-1043807
ACKERLEY GROUP INC ,1095,2002,ACKERLEY GROUP INC,91-1043807
ACMAT CORP ,1097,1995,ACMAT CORP  -CL A,06-0682460
ACMAT CORP ,1097,1996,ACMAT CORP  -CL A,06-0682460
ACMAT CORP ,1097,1997,ACMAT CORP  -CL A,06-0682460
ACMAT CORP ,1097,1998,ACMAT CORP  -CL A,06-0682460
ACMAT CORP ,1097,1999,ACMAT CORP  -CL A,06-0682460
ACMAT CORP ,1097,2000,ACMAT CORP  -CL A,06-0682460
ACMAT CORP ,1097,2001,ACMAT CORP  -CL A,06-0682460
ACMAT CORP ,1097,2002,ACMAT CORP  -CL A,06-0682460
ALBERTO CULVER CO ,1239,1993,ALBERTO-CULVER CO,20-5196741
ALBERTO CULVER CO ,1239,1994,ALBERTO-CULVER CO,20-5196741
ALBERTO CULVER CO ,1239,1995,ALBERTO-CULVER CO,20-5196741
ALBERTO CULVER CO ,1239,1996,ALBERTO-CULVER CO,20-5196741
ALBERTO CULVER CO ,1239,1997,ALBERTO-CULVER CO,20-5196741
ALBERTO CULVER CO ,1239,1998,ALBERTO-CULVER CO,20-5196741
ALBERTO CULVER CO ,1239,1999,ALBERTO-CULVER CO,20-5196741
ALBERTO CULVER CO ,1239,2000,ALBERTO-CULVER CO,20-5196741
ALBERTO CULVER CO ,1239,2001,ALBERTO-CULVER CO,20-5196741
ALBERTO CULVER CO ,1239,2002,ALBERTO-CULVER CO,20-5196741
ALDEN ELECTR & IMPULSE REC EQPT ,1250,1995,ALDEN ELECTRONICS INC,04-2156392
ALDEN ELECTR & IMPULSE REC EQPT ,1250,1996,ALDEN ELECTRONICS INC,04-2156392
ALLEN ORGAN CO ,1283,1995,ALLEN ORGAN CO  -CL B,23-1263194
ALLEN ORGAN CO ,1283,1996,ALLEN ORGAN CO  -CL B,23-1263194
ALLEN ORGAN CO ,1283,1997,ALLEN ORGAN CO  -CL B,23-1263194
ALLEN ORGAN CO ,1283,1998,ALLEN ORGAN CO  -CL B,23-1263194
ALLEN ORGAN CO ,1283,1999,ALLEN ORGAN CO  -CL B,23-1263194
ALLEN ORGAN CO ,1283,2000,ALLEN ORGAN CO  -CL B,23-1263194
ALLEN ORGAN CO ,1283,2001,ALLEN ORGAN CO  -CL B,23-1263194
ALLEN ORGAN CO ,1283,2002,ALLEN ORGAN CO  -CL B,23-1263194
AMERICA WEST AIRLINES INC ,1382,1995,US AIRWAYS GROUP INC,54-1194634
AMERICA WEST AIRLINES INC ,1382,1996,US AIRWAYS GROUP INC,54-1194634
AMERICA WEST AIRLINES INC ,1382,1997,US AIRWAYS GROUP INC,54-1194634
AMERICA WEST AIRLINES INC ,1382,1998,US AIRWAYS GROUP INC,54-1194634
AMERICA WEST AIRLINES INC ,1382,1999,US AIRWAYS GROUP INC,54-1194634
AMERICA WEST AIRLINES INC ,1382,2000,US AIRWAYS GROUP INC,54-1194634
AMERICA WEST AIRLINES INC ,1382,2001,US AIRWAYS GROUP INC,54-1194634
AMERICA WEST AIRLINES INC ,1382,2002,US AIRWAYS GROUP INC,54-1194634
AMERICAN GREETINGS CORP ,1468,1994,AMERICAN GREETINGS  -CL A,34-0065325
AMERICAN GREETINGS CORP ,1468,1995,AMERICAN GREETINGS  -CL A,34-0065325
AMERICAN GREETINGS CORP ,1468,1996,AMERICAN GREETINGS  -CL A,34-0065325
AMERICAN GREETINGS CORP ,1468,1997,AMERICAN GREETINGS  -CL A,34-0065325
AMERICAN GREETINGS CORP ,1468,1998,AMERICAN GREETINGS  -CL A,34-0065325
AMERICAN GREETINGS CORP ,1468,1999,AMERICAN GREETINGS  -CL A,34-0065325
AMERICAN GREETINGS CORP ,1468,2000,AMERICAN GREETINGS  -CL A,34-0065325
AMERICAN GREETINGS CORP ,1468,2001,AMERICAN GREETINGS  -CL A,34-0065325
AMERICAN GREETINGS CORP ,1468,2002,AMERICAN GREETINGS  -CL A,34-0065325
